food_code,food_name,servings_unit,veg_nonveg_flag,Region,Meal_Type,is_processed_flag,is_spicy_flag,contains_dairy_flag,energy_kcal,carb_g,protein_g,fat_g,freesugar_g,fibre_g,sfa_mg,mufa_mg,pufa_mg,calcium_mg,iron_mg,magnesium_mg,sodium_mg,potassium_mg,zinc_mg,vita_mcg,folate_mcg,vitc_mg,carb_to_fibre_ratio,protein_to_carb_ratio,unsat_to_sat_fat_ratio
ASC093,Talaumein soup,soup bowl,0,General,Evening Snacks,0,0,0,131.48,15.39,37.36,47.18,2.83,7.16,951.19,1306.73,2927.26,156.24,8.22,139.52,40920.77,1258.33,1.53,24.75,48.58,12.62,2.149441340782123,2.4275503573749186,4.451255795372112
ASC094,Cold cucumber soup (Thanda kheere ka soup),soup bowl,0,General,Dessert,0,0,0,90.13,8.6,5.61,3.74,6.28,1.65,2313.14,981.88,184.59,187.26,0.6,29.7,227.65,320.92,0.79,37.75,27.42,5.05,5.212121212121212,0.6523255813953489,0.5042798965907814
ASC095,Cold summer garden soup,soup bowl,0,General,Evening Snacks,0,0,0,151.0,8.12,26.31,43.23,1.41,5.7,7554.56,3040.91,562.24,134.88,6.53,119.4,30453.25,1109.58,1.11,144.06,43.26,16.3,1.4245614035087717,3.2401477832512318,0.47695034522195856
ASC096,Chapati/Roti,chapati,0,General,Lunch,0,0,0,72.83,12.83,2.12,1.28,0.36,2.27,625.4,286.8,194.0,6.2,0.82,25.0,0.42,62.2,0.57,9.22,5.84,0.0,5.651982378854625,0.16523772408417772,0.7687879756955549
ASC097,Plain parantha/paratha,parantha,0,North,Dessert,0,0,0,166.31,17.11,2.82,9.4,0.48,3.03,1134.93,1884.73,5894.87,8.26,1.1,33.4,34.6,83.01,0.76,0.0,7.79,0.0,5.646864686468647,0.16481589713617767,6.8546958843276675
ASC098,Potato parantha/paratha (Aloo ka parantha/paratha),parantha,0,North,Dessert,0,0,0,191.43,22.33,3.45,9.54,1.08,3.9,1158.67,1897.47,5958.25,16.23,1.42,43.05,118.76,254.77,0.89,0.0,14.96,7.98,5.725641025641026,0.15450067174205107,6.779945972537478
ASC099,Radish parantha/paratha (Mooli ka parantha/paratha),parantha,0,North,Dessert,0,0,0,183.58,20.55,3.3,9.53,1.31,4.33,1161.68,1896.83,5941.73,23.76,1.39,41.99,127.07,206.5,0.88,0.0,20.74,8.44,4.745958429561201,0.16058394160583941,6.747606914124371
ASC100,Cauliflower parantha/paratha (Phoolgobhi ka parantha/paratha),parantha,0,North,Dessert,0,0,0,181.39,19.19,3.8,9.64,1.17,4.77,1189.9,1903.19,6002.2,22.41,1.62,45.36,193.57,227.1,0.92,0.0,26.32,17.61,4.023060796645703,0.198019801980198,6.6437431716951
ASC101,Dal parantha/paratha,parantha,0,North,Lunch,0,0,0,205.73,23.03,5.2,10.01,1.09,4.96,1193.95,1981.38,6171.45,18.32,1.88,48.43,119.75,206.2,1.18,0.0,29.02,1.8,4.643145161290323,0.22579244463742942,6.828451777712634
ASC102,Sprouted moong parantha/paratha,parantha,0,North,Dessert,0,0,0,175.32,18.64,3.29,9.53,1.13,3.44,1157.05,1903.78,5943.85,15.59,1.49,38.03,118.07,115.1,0.84,0.0,12.52,2.0,5.4186046511627906,0.17650214592274677,6.7824467395531745
ASC103,Pea parantha/paratha (Matar ka parantha/paratha),parantha,0,North,Dessert,0,0,0,206.68,23.31,6.06,9.53,1.39,6.08,1154.97,1905.76,5947.28,25.46,1.93,53.35,119.19,214.25,1.26,0.0,33.64,17.8,3.833881578947368,0.25997425997426,6.799345437543832
ASC104,Keema parantha/paratha,parantha,0,North,Dessert,0,0,0,238.16,18.36,9.41,13.91,0.99,3.44,3213.72,3660.45,6123.85,19.36,1.8,43.63,140.67,213.83,1.98,1.67,11.49,1.8,5.337209302325581,0.5125272331154684,3.0445402835343462
ASC105,Paneer parantha/paratha,parantha,0,North,Evening Snacks,0,0,1,223.6,20.68,6.79,12.43,3.21,3.4,2916.24,2753.13,6009.87,108.54,1.44,41.66,121.18,120.36,1.35,0.0,29.0,1.69,6.08235294117647,0.32833655705996134,3.0048967163196445
ASC106,Besan and spinach parantha/paratha (Besan aur palak ka parantha/paratha),parantha,0,North,Dessert,0,0,0,178.12,17.6,4.56,9.94,1.08,3.62,1216.43,1986.96,6176.68,27.21,1.53,43.85,145.78,207.28,0.74,0.0,50.53,6.65,4.861878453038674,0.25909090909090904,6.711146551795006
ASC107,Poori,poori,0,General,Evening Snacks,0,0,0,921.31,10.27,1.69,96.93,0.29,1.82,12020.32,19909.44,60923.2,4.97,0.75,20.08,39.63,49.85,0.46,7.38,4.68,0.0,5.642857142857142,0.16455696202531644,6.724666231847405
ASC108,Spinach poori (Palak poori),poori,0,General,Evening Snacks,0,0,0,923.74,10.47,1.92,97.01,0.32,2.09,12041.08,19916.93,60960.71,13.53,1.06,28.92,47.89,114.3,0.51,7.38,18.9,3.03,5.009569377990431,0.1833810888252149,6.716809455630226
ASC109,Methi poori,poori,0,General,Evening Snacks,0,0,0,923.03,10.38,1.89,96.99,0.34,2.1,12032.73,19913.66,60953.46,19.0,1.05,23.41,45.98,63.1,0.49,7.38,8.47,2.91,4.942857142857143,0.1820809248554913,6.720596240420918
ASC110,Dal stuffed poori,poori,0,General,Lunch,0,0,0,932.65,12.04,2.47,97.03,0.35,2.33,12036.11,19919.7,60962.47,8.18,0.98,27.01,152.26,97.33,0.56,7.38,7.65,0.42,5.167381974248927,0.2051495016611296,6.71995935563899
ASC111,Potato stuffed poori (Aloo ki poori),poori,0,General,Dessert,0,0,0,925.87,11.21,1.81,96.97,0.31,1.96,12025.39,19913.48,60938.95,6.64,0.84,22.08,83.28,85.8,0.48,7.38,5.63,1.39,5.719387755102042,0.1614629794826048,6.723476743789599
ASC112,Tandoori parantha/paratha,parantha,0,North,Evening Snacks,0,0,0,164.42,17.11,2.83,9.19,0.48,3.03,5312.73,2352.73,608.27,8.34,1.09,33.33,0.63,82.93,0.76,82.98,7.79,0.0,5.646864686468647,0.16540035067212158,0.5573405763138726
ASC113,Boiled rice (Uble chawal),plate,0,General,Lunch,0,0,0,351.57,77.16,7.81,0.55,0.67,3.74,150.0,86.66,216.0,8.11,0.72,26.72,3.16,142.0,1.08,0.0,9.75,0.0,20.631016042780747,0.1012182477967859,2.017733333333333
